메뉴,재료,양,레시피
고추전,"['아삭이고추', '다진 돼지고기', '두부', '양파', '부침가루', '계란 흰자', '홍고추', '굴소스', '청주', '다진 마늘', '생강가루', '참기름', '소금', '후춧가루', '달걀', '부침가루', '진간장', '물', '설탕', '식초', '다진 양파', '청고추']","['7~8개', '150g', '1/2모(150g)', '1/4개', '1큰술', '1개', '1개', '1큰술', '1/2큰술', '1/2큰술', '약간', '약간', '약간', '약간', '1개', '3큰술', '2큰술', '1큰술', '1큰술', '1큰술', '약간', '약간']","['양파는 곱게 다지고 홍고추는 송송 썰어 준비해 주세요. 두부는 칼등으로 으깨 주세요.(tip. 수분이 많은 두부의 경우 물기를 꽉 짜주세요)', '볼에 다진 돼지고기와 양파, 두부, 계란 흰자, 부침가루 1큰술과 양념 재료를 넣고 버무려 완성해 주세요. (tip. 계란 노른자는 반죽 재료로 써주세요)', '아삭이고추는 길게 반으로 갈라 속을 털어주세요.', '아삭이고추의 안쪽 부분에 튀김가루를 묻힌 후 속 재료를 넣어주세요. (tip. 속 재료를 꾹꾹 눌러 잘 고정시켜주세요)', '아삭이고추 윗면에 부침가루를 살짝 뿌린 후 반죽 면에만 달걀물을 묻혀주세요.', '법랑 접시에 유산지를 깔고 식용유를 충분히 두른 후 고추의 반죽 부분이 아래를 향하도록 올려주세요. 법랑 접시를 3단에 넣고 광파오븐 수동 요리 <구이>에서 10분간 구워주세요.', '고추전을 초간장과 함께 맛있게 즐겨주세요.']"
황태갈비,"['황태', '밀가루', '전분', '식용유', '간장', '올리고당', '갈색 설탕', '맛술', '다진 마늘', '다진 파', '참기름', '통깨']","['1마리', '4큰술', '2큰술', '약간', '2큰술', '1큰술', '1큰술', '2큰술', '1큰술', '2큰술', '1큰술', '약간']","['뼈를 발라 펼쳐진 황태를 6cm 길이로 잘라주세요. 물에 담가 말랑한 상태로 만든 후 물을 꽉 짜주세요.', '볼에 양념 재료를 넣어 잘 섞어주세요. 손질한 황태를 양념에 재워주세요.', '밀가루와 전분을 섞은 후 양념한 황태에 묻혀주세요.', '구이 전용 팬에 기름을 바르고 황태를 올린 후 기름을 바르고 4단에 넣은 후 광파오븐 자동 요리 <구이>에서 <황태 양념구이> 1마리 분량을 선택하여 구워주세요. 조리가 시작되면 조절 기능으로 시간을 2분 추가해주세요. 도중에 멜로디가 울리면 황태를 뒤집고 계속 조리해 주세요. (tip. ""오븐에 전송"" 버튼을 누르면 시간을 조절할 필요 없이 간단하게 설정할 수 있어요', '완성된 황태갈비를 접시에 담아 맛있게 즐겨주세요.']"
성게미역국,"['성게', '건 미역', '다시마 육수', '국간장', '참기름', '멸치액젓', '소금']","['60g', '15g', '5컵', '1큰술', '1큰술', '1/2큰술', '약간']","['미역은 물에 담가 10분 정도 불려주세요. 불린 미역은 먹기 좋게 썬 후 물기를 제거해 주세요.', '냄비에 참기름을 두르고 미역을 볶아주세요. 미역이 부드러워지면 국간장을 넣고 2분정도 더 볶아주세요.', '다시마 육수를 넣고 ⅔ 정도 넣고 10분 정도 끓여주세요.', '나머지 다시마 육수를 모두 넣고 성게알과 액젓을 넣어 5분 정도 더 끓여주세요. 부족한 간은 소금으로 맞춰주세요.', '완성된 성게미역국을 그릇에 담고 밥과 함께 즐겨주세요.']"
멍게비빔밥,"['멍게', '부추', '청양고추', '밥', '다진 마늘', '소금', '참기름', '깨소금']","['120g', '한 줌(30g)', '1개', '2공기', '1큰술', '1/2작은술', '2큰술', '2큰술']","['손질된 멍게는 먹기 좋은 크기로 잘라주세요.', '쪽파와 청양고추는 송송 썰어주세요.', '볼에 멍게, 양념 재료, 쪽파, 청양고추를 넣어 섞어주세요.', '그릇에 밥을 담은 후 멍게를 듬뿍 올려주세요. (tip. 기호에 따라 김가루를 뿌려 맛있게 즐겨주세요)']"
곤드레전,"['생 곤드레', '식용유', '소금', '부침가루', '물', '간장', '맛술', '식초', '잘게 썬 양파', '잘게 썬 홍고추', '통깨']","['200g', '적당량', '약간', '1컵', '1컵', '1큰술', '1/2큰술', '1작은술', '1큰술', '1/2큰술', '약간']","['곤드레는 깨끗이 씻어 4cm 길이로 잘라주세요.', '볼에 반죽 재료와 곤드레를 넣고 섞어주세요. (tip. 반죽에 전분을 넣어 만들면 반죽이 투명해져서 곤드레의 색감을 살릴 수 있어요)', '볼에 양념장 재료를 넣어 섞어주세요.', '달군 팬에 약간의 기름을 두른 후 반죽을 올려 얇게 펼쳐주세요. 앞뒤로 노릇하게 구워주세요.', '곤드레 전에 양념장을 곁들여 맛있게 즐겨주세요.']"
완두콩밥,"['불린 쌀', '물', '완두콩']","['2컵', '2컵', '1/2컵']","['솥에 불린 쌀과 씻은 완두콩을 넣어주세요.', '물을 넣고 뚜껑을 닫아 센 불에서 끓여주세요. 밥물이 끓기 시작하면 불을 약한 불로 줄여 15분 정도 익혀주세요.', '밥이 다 지어지면 5~10분 정도 뜸을 들인 후 주걱으로 위아래 가볍게 섞어 맛있게 즐겨주세요.']"
미역오이냉국,"['불린 미역', '생수', '오이', '통깨', '얼음', '식초', '설탕', '국간장', '소금', '다진 마늘']","['100g', '2컵', '1개', '약간', '적당량', '1/2컵', '2큰술', '1/2큰술', '약간', '1/2큰술']","['불린 미역은 물에 30초 정도 데친 후 체에 밭쳐 깨끗이 씻어주세요(tip. 미역은 여러 번 헹궈야 비린내가 나지 않아요)', '물기를 짠 후 먹기 좋은 크기로 잘라주세요.', '볼에 미역을 담은 후 양념 재료를 넣어 골고루 섞어주세요.', '오이는 얇게 슬라이스로 잘라주세요.', '미역이 들어있는 볼에 오이와 물을 넣어 섞어주세요.', '마지막에 얼음, 통깨를 뿌려 완성해주세요.']"
부지깽이 도토리부침개,"['부지깽이', '식용유', '도토리가루', '물', '간장', '식초', '잘게 썬 양파', '홍고추', '통깨']","['100g', '적당량', '6큰술', '6큰술', '1큰술', '1작은술', '약간', '약간', '약간']","['부지깽이는 흐르는 물에 헹군 후 3~4cm 길이로 잘라주세요.', '볼에 부지깽이와 반죽 재료를 넣고 섞어주세요.', '달군 팬에 약간의 기름을 두른 후 반죽을 올려 펼쳐주세요. 앞뒤로 노릇하게 구워주세요.', '완성된 부지깽이 도토리부침개를 소스에 찍어 맛있게 즐겨주세요.(tip. 기호에 따라 초고추장에 찍어 먹어도 맛있답니다)']"
아욱 된장국,"['아욱', '멸치 다시마 육수(초이스레시피 멸치육수 2포)', '대파', '청양고추', '된장', '고추장', '다진 마늘']","['150g', '5컵', '1/2대', '1개', '2큰술', '1/2큰술', '1큰술']","['아욱의 줄기 끝 부분은 꺾어내고 껍질을 벗겨주세요. 큰 잎은 먹기 좋은 크기로 찢어주세요. 손질한 아욱은 흐르는 물에 2~3번 씻어주세요. 줄기가 두꺼운 경우 반으로 썰어주세요.(tip. 줄기가 가는 아욱은 껍질을 벗기지 않아도 괜찮아요)(tip. 큰 잎은 먹기 좋은 크기로 잘라주세요)(tip. 줄기가 억센 경우 씻을 때 굵은 소금을 넣고 박박 문질러주세요)', '청양고추와 대파는 어슷 썰어주세요.', '냄비에 멸치다시마육수를 붓고 된장과 고추장을 넣어 센불에서 끓여 주세요. 육수가 끓어 오르면 아욱과 다진마늘, 청양고추를 넣고 끓여주세요. 마지막으로 대파를 넣어 한소끔 끓인 후 맛있게 즐겨주세요.(tip 부족한 간은 소금을 가감해 조절해 주세요)']"
근대 된장국,"['근대', '양파', '청양고추', '대파', '된장', '고춧가루', '다진 마늘', '멸치 다시마 육수(초이스레시피 멸치육수 1.5포)']","['200g', '1/4개', '1개', '1/2대', '2큰술', '1큰술', '1큰술', '4컵']","['깨끗이 씻은 근대는 먹기 좋은 크기로 썰어 준비해 주세요.', '양파는 얇게 썰고 청양고추와 홍고추를 송송 썰어주세요. 대파는 어슷 썰어주세요.', '냄비에 멸치 다시마 육수를 넣고 된장을 풀어주세요. 양파를 넣고 끓이다가 근대와 청양고추, 고춧가루, 다진 마늘, 대파를 넣고 팔팔 끓여주세요. 완성된 근대 된장국을 그릇에 담아 맛있게 즐겨주세요.(tip. 부족한 간은 소금을 가감해 조절해 주세요)']"
